Category: All categories

Month,Data science: (United States)
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,2
2012-07,3
2012-08,4
2012-09,4
2012-10,4
2012-11,5
2012-12,4
2013-01,5
2013-02,4
2013-03,6
2013-04,10
2013-05,10
2013-06,7
2013-07,7
2013-08,9
2013-09,8
2013-10,9
2013-11,9
2013-12,9
2014-01,11
2014-02,12
2014-03,12
2014-04,14
2014-05,15
2014-06,15
2014-07,15
2014-08,19
2014-09,19
2014-10,19
2014-11,17
2014-12,17
2015-01,22
2015-02,23
2015-03,24
2015-04,25
2015-05,24
2015-06,26
2015-07,27
2015-08,31
2015-09,31
2015-10,33
2015-11,30
2015-12,27
2016-01,36
2016-02,34
2016-03,35
2016-04,38
2016-05,35
2016-06,33
2016-07,34
2016-08,33
2016-09,36
2016-10,38
2016-11,40
2016-12,36
2017-01,48
2017-02,51
2017-03,51
2017-04,53
2017-05,51
2017-06,50
2017-07,50
2017-08,50
2017-09,60
2017-10,53
2017-11,53
2017-12,44
2018-01,63
2018-02,68
2018-03,57
2018-04,64
2018-05,59
2018-06,57
2018-07,58
2018-08,64
2018-09,69
2018-10,77
2018-11,64
2018-12,54
2019-01,72
2019-02,67
2019-03,66
2019-04,72
2019-05,64
2019-06,70
2019-07,67
2019-08,78
2019-09,86
2019-10,83
2019-11,71
2019-12,61
2020-01,79
2020-02,80
2020-03,63
2020-04,70
2020-05,69
2020-06,76
2020-07,74
2020-08,78
2020-09,71
2020-10,65
2020-11,53
2020-12,58
2021-01,59
2021-02,59
2021-03,57
2021-04,58
2021-05,54
2021-06,58
2021-07,62
2021-08,64
2021-09,69
2021-10,76
2021-11,74
2021-12,66
2022-01,94
2022-02,100
2022-03,99
2022-04,100
2022-05,95
2022-06,83
2022-07,82
2022-08,93
2022-09,94
2022-10,99
2022-11,89
2022-12,76
2023-01,91
2023-02,92
2023-03,92
2023-04,89
2023-05,97
