Category: All categories

Month,Machine learning: (United States)
2010-09,7
2010-10,9
2010-11,8
2010-12,6
2011-01,7
2011-02,8
2011-03,8
2011-04,8
2011-05,7
2011-06,7
2011-07,7
2011-08,7
2011-09,9
2011-10,13
2011-11,11
2011-12,9
2012-01,9
2012-02,10
2012-03,11
2012-04,10
2012-05,10
2012-06,9
2012-07,8
2012-08,10
2012-09,10
2012-10,11
2012-11,10
2012-12,9
2013-01,10
2013-02,10
2013-03,10
2013-04,12
2013-05,12
2013-06,10
2013-07,10
2013-08,9
2013-09,12
2013-10,14
2013-11,13
2013-12,12
2014-01,13
2014-02,14
2014-03,16
2014-04,16
2014-05,13
2014-06,13
2014-07,14
2014-08,16
2014-09,18
2014-10,17
2014-11,18
2014-12,16
2015-01,19
2015-02,20
2015-03,20
2015-04,23
2015-05,21
2015-06,23
2015-07,23
2015-08,25
2015-09,25
2015-10,27
2015-11,29
2015-12,25
2016-01,26
2016-02,28
2016-03,32
2016-04,31
2016-05,33
2016-06,31
2016-07,30
2016-08,31
2016-09,35
2016-10,38
2016-11,42
2016-12,33
2017-01,43
2017-02,46
2017-03,49
2017-04,51
2017-05,51
2017-06,51
2017-07,49
2017-08,55
2017-09,56
2017-10,58
2017-11,59
2017-12,54
2018-01,55
2018-02,60
2018-03,66
2018-04,62
2018-05,67
2018-06,62
2018-07,58
2018-08,60
2018-09,62
2018-10,75
2018-11,67
2018-12,54
2019-01,63
2019-02,69
2019-03,72
2019-04,69
2019-05,66
2019-06,63
2019-07,63
2019-08,61
2019-09,70
2019-10,73
2019-11,68
2019-12,57
2020-01,65
2020-02,73
2020-03,57
2020-04,64
2020-05,63
2020-06,64
2020-07,63
2020-08,62
2020-09,65
2020-10,58
2020-11,49
2020-12,47
2021-01,46
2021-02,53
2021-03,51
2021-04,54
2021-05,53
2021-06,51
2021-07,51
2021-08,54
2021-09,62
2021-10,64
2021-11,58
2021-12,53
2022-01,62
2022-02,81
2022-03,83
2022-04,90
2022-05,81
2022-06,77
2022-07,73
2022-08,74
2022-09,80
2022-10,84
2022-11,79
2022-12,74
2023-01,79
2023-02,89
2023-03,89
2023-04,84
2023-05,100
