Category: All categories

Month,MATLAB: (United States)
2010-09,90
2010-10,98
2010-11,87
2010-12,57
2011-01,60
2011-02,95
2011-03,85
2011-04,87
2011-05,61
2011-06,51
2011-07,54
2011-08,51
2011-09,84
2011-10,85
2011-11,83
2011-12,54
2012-01,58
2012-02,88
2012-03,76
2012-04,86
2012-05,62
2012-06,60
2012-07,52
2012-08,54
2012-09,82
2012-10,85
2012-11,79
2012-12,53
2013-01,64
2013-02,88
2013-03,75
2013-04,88
2013-05,60
2013-06,52
2013-07,56
2013-08,47
2013-09,84
2013-10,93
2013-11,80
2013-12,58
2014-01,65
2014-02,90
2014-03,83
2014-04,91
2014-05,62
2014-06,57
2014-07,55
2014-08,52
2014-09,88
2014-10,97
2014-11,90
2014-12,59
2015-01,65
2015-02,97
2015-03,87
2015-04,98
2015-05,64
2015-06,61
2015-07,60
2015-08,57
2015-09,93
2015-10,100
2015-11,89
2015-12,60
2016-01,62
2016-02,100
2016-03,86
2016-04,91
2016-05,64
2016-06,58
2016-07,50
2016-08,49
2016-09,82
2016-10,89
2016-11,87
2016-12,57
2017-01,62
2017-02,98
2017-03,93
2017-04,92
2017-05,62
2017-06,54
2017-07,46
2017-08,48
2017-09,80
2017-10,85
2017-11,82
2017-12,50
2018-01,58
2018-02,88
2018-03,70
2018-04,77
2018-05,55
2018-06,47
2018-07,47
2018-08,47
2018-09,73
2018-10,82
2018-11,69
2018-12,44
2019-01,53
2019-02,78
2019-03,64
2019-04,77
2019-05,49
2019-06,45
2019-07,45
2019-08,41
2019-09,67
2019-10,75
2019-11,61
2019-12,40
2020-01,45
2020-02,72
2020-03,54
2020-04,61
2020-05,44
2020-06,40
2020-07,38
2020-08,38
2020-09,59
2020-10,54
2020-11,41
2020-12,30
2021-01,27
2021-02,47
2021-03,45
2021-04,44
2021-05,31
2021-06,26
2021-07,26
2021-08,27
2021-09,49
2021-10,48
2021-11,45
2021-12,30
2022-01,41
2022-02,69
2022-03,59
2022-04,67
2022-05,46
2022-06,37
2022-07,35
2022-08,39
2022-09,60
2022-10,62
2022-11,56
2022-12,38
2023-01,42
2023-02,63
2023-03,56
2023-04,52
2023-05,56
