Category: All categories

Month,NumPy: (United States)
2010-09,12
2010-10,11
2010-11,12
2010-12,11
2011-01,11
2011-02,14
2011-03,13
2011-04,14
2011-05,12
2011-06,14
2011-07,14
2011-08,12
2011-09,14
2011-10,14
2011-11,13
2011-12,11
2012-01,13
2012-02,14
2012-03,15
2012-04,15
2012-05,13
2012-06,13
2012-07,15
2012-08,12
2012-09,16
2012-10,16
2012-11,16
2012-12,13
2013-01,13
2013-02,18
2013-03,19
2013-04,18
2013-05,17
2013-06,17
2013-07,17
2013-08,16
2013-09,18
2013-10,20
2013-11,18
2013-12,15
2014-01,18
2014-02,22
2014-03,23
2014-04,24
2014-05,20
2014-06,21
2014-07,21
2014-08,20
2014-09,20
2014-10,24
2014-11,24
2014-12,19
2015-01,21
2015-02,28
2015-03,29
2015-04,30
2015-05,27
2015-06,31
2015-07,32
2015-08,26
2015-09,29
2015-10,34
2015-11,34
2015-12,27
2016-01,30
2016-02,43
2016-03,39
2016-04,43
2016-05,36
2016-06,37
2016-07,34
2016-08,31
2016-09,38
2016-10,44
2016-11,49
2016-12,38
2017-01,43
2017-02,56
2017-03,70
2017-04,59
2017-05,54
2017-06,55
2017-07,50
2017-08,51
2017-09,59
2017-10,67
2017-11,61
2017-12,50
2018-01,58
2018-02,73
2018-03,67
2018-04,69
2018-05,62
2018-06,61
2018-07,60
2018-08,60
2018-09,67
2018-10,78
2018-11,66
2018-12,54
2019-01,58
2019-02,79
2019-03,68
2019-04,86
2019-05,62
2019-06,62
2019-07,61
2019-08,61
2019-09,76
2019-10,81
2019-11,69
2019-12,46
2020-01,56
2020-02,76
2020-03,57
2020-04,70
2020-05,56
2020-06,58
2020-07,59
2020-08,53
2020-09,62
2020-10,64
2020-11,46
2020-12,37
2021-01,36
2021-02,50
2021-03,50
2021-04,51
2021-05,39
2021-06,41
2021-07,39
2021-08,37
2021-09,56
2021-10,56
2021-11,53
2021-12,40
2022-01,60
2022-02,98
2022-03,91
2022-04,100
2022-05,65
2022-06,67
2022-07,60
2022-08,64
2022-09,79
2022-10,88
2022-11,80
2022-12,63
2023-01,61
2023-02,95
2023-03,77
2023-04,70
2023-05,80
